key,Ubicación,Texto actual
"global.nav.inicio","Navegación (todas las páginas) → ""Inicio""","Inicio"
"global.nav.sesiones","Navegación (todas las páginas) → menú desplegable ""Sesiones""","Sesiones"
"global.nav.sesiones_individual","Navegación → menú Sesiones → opción 1","Coaching Individual"
"global.nav.sesiones_equipos","Navegación → menú Sesiones → opción 2","Coaching para Equipos y Organizaciones"
"global.nav.sesiones_constelaciones","Navegación → menú Sesiones → opción 3","Constelaciones Sistémicas y Familiares"
"global.nav.sesiones_pnl","Navegación → menú Sesiones → opción 4","Programación Neurolingüística (PNL)"
"global.nav.curso","Navegación → ""Curso""","Curso"
"global.nav.libro","Navegación → ""Libro""","Libro"
"global.nav.agendar","Navegación → botón principal (Inicio, Coaching Individual, Coaching Equipos, Constelaciones, PNL)","Agendar"
"global.footer.copyright","Pie de página (todas las páginas) → texto de copyright","© 2026 Denisse Karmy · Coach Ontológico y Apreciativo"
"global.footer.instagram","Pie de página → link Instagram","Instagram"
"global.footer.linkedin","Pie de página → link LinkedIn","LinkedIn"
"global.footer.facebook","Pie de página → link Facebook","Facebook"
"global.footer.youtube","Pie de página → link YouTube","YouTube"
"inicio.meta.titulo","Inicio → (SEO) Título de la pestaña del navegador","Denisse Karmy — Coach Ontológico y Apreciativo"
"inicio.meta.descripcion","Inicio → (SEO) Descripción para buscadores","Coaching Ontológico y Apreciativo, PNL y Constelaciones Sistémicas y Familiares con Denisse Karmy. Acompañamiento para personas, equipos y organizaciones en procesos de transformación."
"inicio.hero.eyebrow","Inicio → Hero → texto pequeño superior","Coach ontológico y apreciativo · PNL · Constelaciones Sistémicas y Familiares"
"inicio.hero.titulo","Inicio → Hero → título principal (cita)","A veces no hace falta cambiar, solo atreverse a mirar diferente para recordar quiénes somos."
"inicio.hero.subtitulo","Inicio → Hero → bajada","Acompaño a personas, grupos, equipos y organizaciones en procesos de transformación personal y profesional."
"inicio.hero.boton_agendar","Inicio → Hero → botón 1","Agendar una sesión"
"inicio.hero.boton_servicios","Inicio → Hero → botón 2","Conocer servicios"
"inicio.hero.badge_cita","Inicio → Hero → foto → etiqueta destacada","Mirar diferente."
"inicio.hero.badge_sub","Inicio → Hero → foto → etiqueta destacada (subtítulo)","El primer paso"
"inicio.sobremi.titulo","Inicio → Sobre mí → título de sección","Sobre mí"
"inicio.sobremi.tagline","Inicio → Sobre mí → frase destacada","Aprendí a transformar desafíos en oportunidades de crecimiento y bienestar."
"inicio.sobremi.parrafo","Inicio → Sobre mí → párrafo principal","Integro el Coaching Ontológico y Apreciativo, la Programación Neurolingüística (PNL) y las Constelaciones Sistémicas y Familiares para guiar procesos de cambio reales y sostenibles."
"inicio.sobremi.bullet1","Inicio → Sobre mí → viñeta 1 (ícono persona)","Acompaño a personas y equipos a descubrir su mejor versión, fortalecer sus relaciones y tomar decisiones con claridad, propósito y coherencia."
"inicio.sobremi.bullet2_pre","Inicio → Sobre mí → viñeta 2 (ícono corazón) → texto antes de la frase resaltada","Creo en el poder de una "
"inicio.sobremi.bullet2_highlight","Inicio → Sobre mí → viñeta 2 (ícono corazón) → frase resaltada en dorado","conversación significativa"
"inicio.sobremi.bullet2_post","Inicio → Sobre mí → viñeta 2 (ícono corazón) → texto después de la frase resaltada","para abrir nuevas posibilidades, sanar vínculos y construir una vida con sentido."
"inicio.sobremi.bullet3_pre","Inicio → Sobre mí → viñeta 3 (ícono libro) → texto antes del link al libro","En el 2023 escribí el libro "
"inicio.sobremi.bullet3_link","Inicio → Sobre mí → viñeta 3 (ícono libro) → texto del link (lleva a la página del libro, no cambiar sentido)","La Verdad, Claves para tu Felicidad"
"inicio.sobremi.bullet3_post","Inicio → Sobre mí → viñeta 3 (ícono libro) → texto después del link","Un libro profundo de autoayuda que explora junto a Denisse los intrincados caminos de la autoconciencia y el desarrollo personal para vivir en tranquilidad."
"inicio.sobremi.credencial1_titulo","Inicio → Sobre mí → tarjeta credencial 1 → título","Coach ontológico y apreciativo"
